TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-14 06:12:05,1771049525657,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,vbrmb-1771049525657-5161413b293b,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-hpnp0op01-aimit4s-projects.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,677,iad1,247,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDCE8JN8FT26W79QGNY0FF9,CcVUBi1OYu4g,1
2026-02-14 06:12:04,1771049524873,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,rqp5t-1771049524203-127c285a5a72,Razorpay-Webhook/v1,warning,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,,,,,Signature mismatch with direct stringify. Trying alternative formatting...,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:12:04,1771049524873,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,rqp5t-1771049524203-127c285a5a72,Razorpay-Webhook/v1,error,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,,,,,CRITICAL: Webhook signature verification failed for all formats,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:12:04,1771049524873,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,rqp5t-1771049524203-127c285a5a72,Razorpay-Webhook/v1,info,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,,,,,Received signature: 493b79bac5763acdc0d197ec6f2108b25c2564e78381ff8c429996fb5a5a16d9,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:12:04,1771049524873,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,rqp5t-1771049524203-127c285a5a72,Razorpay-Webhook/v1,info,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,,,,,Expected signature (direct): e6811f20d5d035fb9a0913b591d6e193af04cb1fb642ba0c298c2e9a5c42472f,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:12:04,1771049524874,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,rqp5t-1771049524203-127c285a5a72,Razorpay-Webhook/v1,info,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,,,,,Expected signature (alt): e6811f20d5d035fb9a0913b591d6e193af04cb1fb642ba0c298c2e9a5c42472f,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:12:04,1771049524203,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,rqp5t-1771049524203-127c285a5a72,Razorpay-Webhook/v1,,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,29,iad1,224,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDCE7KHM04RXDVPFN69FJ06,o2RBYtPSjlFG,1
2026-02-14 06:10:10,1771049410964,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,jtb7r-1771049410964-dee64b248050,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-hpnp0op01-aimit4s-projects.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,684,iad1,245,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDCARJJW4VAJZRB7PTN2BVS,CcVUBi1OYu4g,1
2026-02-14 06:08:06,1771049286037,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389@,200,jntcn-1771049285576-ee0054277798,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),error,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-hpnp0op01-aimit4s-projects.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,,,,,"(node:10) [DEP0169] DeprecationWarning: `url.parse()` behavior is not standardized and prone to errors that have security implications. Use the WHATWG URL API instead. CVEs are not issued for `url.parse()` vulnerabilities.
(Use `node --trace-deprecation ...` to show where the warning was created)",prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:08:05,1771049285576,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389@,200,jntcn-1771049285576-ee0054277798,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-hpnp0op01-aimit4s-projects.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,800,iad1,235,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDC6Y9AMB8Y3CN215KBPMTJ,CcVUBi1OYu4g,1
2026-02-14 06:07:31,1771049251591,quant-mentor-hpnp0op01-aimit4s-projects.vercel.app/assets/images/logo.png,GET,,401,vnnhr-1771049251591-dd3028f4b8dc,vercel-favicon/1.0,,production,main,,static,/assets/images/logo.png,quant-mentor-hpnp0op01-aimit4s-projects.vercel.app,quant-mentor-hpnp0op01-aimit4s-projects.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,2,sfo1,,,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:07:31,1771049251579,quant-mentor-hpnp0op01-aimit4s-projects.vercel.app/assets/images/logo.png,GET,,401,n8dm4-1771049251579-543e9c8fe7f5,vercel-favicon/1.0,,production,main,,static,/assets/images/logo.png,quant-mentor-hpnp0op01-aimit4s-projects.vercel.app,quant-mentor-hpnp0op01-aimit4s-projects.vercel.app,dpl_2sPzAXZdDRWkquLRGsDt1WXTKaKW,1,sfo1,,,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:06:29,1771049189474,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,x64jx-1771049188724-296ab054a80f,Razorpay-Webhook/v1,warning,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,,,,,Signature mismatch with direct stringify. Trying alternative formatting...,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:06:29,1771049189474,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,x64jx-1771049188724-296ab054a80f,Razorpay-Webhook/v1,error,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,,,,,CRITICAL: Webhook signature verification failed for all formats,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:06:28,1771049188724,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,x64jx-1771049188724-296ab054a80f,Razorpay-Webhook/v1,,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,227,iad1,219,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDC3ZNSB2S8X0PWGP3D0X0C,vcPqpcEGTR7s,1
2026-02-14 06:06:05,1771049165582,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,b2c4l-1771049165582-b892416fcc42,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-ka60bmv4q-aimit4s-projects.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,338,iad1,254,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDC38VC83W538DH1KB7MFHR,ADVDe06Q7yfq,1
2026-02-14 06:04:05,1771049045720,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,,5jhcj-1771049045720-648a1797d4f5,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,,,function,/api/reminders,quant-mentor.vercel.app,,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,691,iad1,253,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDBZKS2RX3HGGHBWBFR5WC4,ADVDe06Q7yfq,1
2026-02-14 06:02:05,1771048925651,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,jk7gl-1771048925651-6ba2de5bb325,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-ka60bmv4q-aimit4s-projects.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,586,iad1,253,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDBVYGE3T4X1PKP95HRZ9TT,ADVDe06Q7yfq,1
2026-02-14 06:00:30,1771048830577,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,gb9ff-1771048830577-c41f107875ff,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-ka60bmv4q-aimit4s-projects.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,388,iad1,252,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDBS1NTEPZ08A9TBW7B7PJC,ADVDe06Q7yfq,1
2026-02-14 05:58:05,1771048685678,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,vlksl-1771048685678-41ce8f1939fe,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-ka60bmv4q-aimit4s-projects.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,269,iad1,252,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDBMM57ERD9Z9GN5Q6HX38Y,ADVDe06Q7yfq,1
2026-02-14 05:56:05,1771048565803,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,lr4dw-1771048565803-945828427bdf,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-ka60bmv4q-aimit4s-projects.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,676,iad1,252,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDBGZ37GYJRFGSZ06WH94R5,ADVDe06Q7yfq,1
2026-02-14 05:54:05,1771048445468,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,pjrv7-1771048445468-59ce13e31053,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-ka60bmv4q-aimit4s-projects.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,688,iad1,252,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDBD9JR0VZXT1D5XK4B6X9N,ADVDe06Q7yfq,1
2026-02-14 05:54:06,1771048446023,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,cr2qr-1771048445345-43e0d6fdd2d2,Razorpay-Webhook/v1,warning,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,,,,,Signature mismatch with direct stringify. Trying alternative formatting...,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 05:54:06,1771048446023,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,cr2qr-1771048445345-43e0d6fdd2d2,Razorpay-Webhook/v1,error,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,,,,,CRITICAL: Webhook signature verification failed for all formats,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 05:54:05,1771048445345,quant-mentor.vercel.app/api/razorpay-webhook,POST,,401,cr2qr-1771048445345-43e0d6fdd2d2,Razorpay-Webhook/v1,,production,main,MISS,function,/api/razorpay-webhook,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,268,iad1,219,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDBD9GPAT3FF3TSW07HHNEG,SIhrXhOWkH23,1
2026-02-14 05:52:05,1771048325425,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,w7pnv-1771048325425-1736ab32d9a1,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-ka60bmv4q-aimit4s-projects.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,566,iad1,251,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDB9MBNR1KEF21RJFW38ZDX,ADVDe06Q7yfq,1
2026-02-14 05:50:10,1771048210929,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,97p92-1771048210929-bab88ef98b36,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-ka60bmv4q-aimit4s-projects.vercel.app,dpl_2p9WAfK6X9UsHS2R29zWm8q39ijo,674,iad1,250,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDB64J660FC52SRMR9F4CV6,ADVDe06Q7yfq,1
